句子,过渡句,交互句,其他
专业人员开发的，和操作系统怎么样？系统。,1,1,0
我们给大家讲的这个是单表单表的查询，呢我们说它会,0,0,1
在在那个语句里边可以出现where字句，出现PRO字据，,0,0,1
另外还有分组的多半是,0,0,1
加上having短语以及采取。嗯,0,0,1
当一个查询语句里边，唯有子句和heavy短语同时出现的时候，我们最后讲这个例子是吧？,0,0,1
同时出现的时候，,0,0,1
当时下课以后有同学啊就问就说能不能先分组,0,0,1
再做where子句。啊那么,0,0,1
据说在上机的时候，我们肖军老师给大家演示了，吧嗯那个,0,0,1
那下一次叫他们跟你呃跟你们演示一下，就是你们自己也可以去执行一下。,0,0,1
就是我们啊这个肖军老师他去试了一下，就针对我们这个议题去试了一下，啊如果说,0,0,1
先分组再执行，我不要字据，它就出错。,0,0,1
如果先执行wella，子句在分组，,0,0,1
那么这个结果就出来了。什么原因？呢我们的数据库软件它在执行，,0,0,1
在那个语句的时候，它的顺序是这样的，啊我们书上没有强调，,0,0,1
他执行的时候，首先如果有子句的话，首先是根据whales句的,2,0,0
检索条件，然后在from后面所指定的那个表里边，,0,0,1
根据这个条件做筛选对吧？然后有group,0,1,1
快这个子句的话，就按照group后面的子句进行分组，有条件在,0,0,1
组的基础上进行条件的筛选。,0,0,1
好，回到我们上一次后面给大家,0,0,1
嗯嗯嗯给大家看的这个例子是吧？,0,0,1
给大家看的这个例子里边，它同时出现via和heavy,0,0,1
都是条件啊黑名单也不会有子句，那么注意这两个的作用对象不一样，,0,0,1
vivo字句是对这个表里边的所有的行进行条件筛选，,0,0,1
也就是说它首先从SC表里边把成绩折的挑选出来，对吧？,1,1,0
然后再按照学号进行分组，在及格了的成绩基础上，,0,0,1
哪一个学号及格，两个课程是三本以上，然后把这个成绩,0,0,1
啊他的这个成绩之和及格了的成绩之和按照什么？,0,0,1
降去。,0,0,1
所以有的时候那个中文有的时候啊会产生理解的时候有点歧义，啊,0,0,1
他的意思是说选课在三门以上，且各门就说三门都是要及格了，,0,0,1
所以他一开始有个where字句把机构先挑选出来。,0,0,1
那么唉如果而且这个数据库软件在执行这个语句的时候，,0,0,1
他是有没有先执行？没有，啊在有没有有分组的情况下先执行？没有，,0,0,1
然后再分组分组以后看有没有分组的条件，再进行条件筛选，然后再执行其他的，,0,0,2
噢是这样一个执行手续。,0,0,1
那么连接查询呢它就涉及到一个连接条件，两个表之间的连接条件。啊,0,0,1
我们来看一下，首先我们看一下等值零等级与非等值0，,1,0,0
大家看这个例题啊这个例题，,0,0,1
这个例题呢它查的是什么？呢在那个后面,0,0,1
他的是学生表里面所有的属性是吧？还有SC表里面所有的属性，,0,0,1
但是from后面和我们以前所讲的例子不同，是出现了什么？两个表对吧？,0,1,1
微量量表，因此他在微微剧里边要写上一个连接条件，,0,0,1
这个连接条件是你看是这两个表里面相同的属性上面做等式连接是吧？唉,0,0,1
因为他查询的是每一个学生，所以他没有查询条件，没有说是哪个系的学生或者是年龄小于多少，没有是吧？,0,0,2
唉没有查询条件，没有连接条件，那么这查询出来的结果大家看一下啊这个结果是不是这样一个结果？吧,0,0,1
这个学号等着连接过去，他选了三门课对不对？这个学校等着连续选了两个课，,0,1,0
我们可能完全是有两个完全重复的什么属性，吧是不是两个学号，唉,0,0,1
如果我们想啊因为没必要，嘛只要一个学号就可以了，那就是我们在关键战术里面所说的什么东西。,0,0,1
嗯好，那么在语句里面怎么怎么写，呢我们回到前面这里去可以怎么写呢这种方式，啊,3,3,0
我可以这么写，丢的信号我还是这样写对吧？,0,1,0
然后s是一点像，我这个不要全部属性出来，,0,0,1
我只要课程考核什么就可以了，是吧？唉特别好的成绩，嗯我们书上是怎么写的，大家看一下。,1,1,0
那我们书上是这样写的是吧？,0,0,1
唉他写的student点学号，其他的这个呢他就不用写上still的点了，,0,0,1
为什么其他的属性在这两个里面一看就知道是哪个表里面对吧？,0,2,0
只有这个容易不知道是哪个，所以他这里强调一下写一下，然后是课程和成绩是吧？,0,0,2
这样出来的，它就是自然间的。,0,0,1
好，下面我们看一下自身连接，,1,0,0
自身的连接，我们书上有一个例题，啊书上有个例题我们先看这个题目，他是要查什么呢？,0,0,1
从每一门课程的间接先行课，每一门课程在什么表里面有？,0,0,1
唉就是 Course就是课程表里面有是吧？嗯我们可以翻到52页，大家再回到52页看一下这个课程表，,0,0,1
每一门课程的间接限行cca，在课程表里面我们看到课程好CEO对不对？,0,1,0
还有个属性叫CPU，那个是什么？直接先行课对吧？,0,1,0
唉直接签一个，你比如说数据库的直接先行课是什么结构，,0,0,1
那么数据结构的直接先行课，呢 Pass开、语言7对吧？,0,1,0
唉它的CPU是7，那么这个7是1的什么呢？,0,0,1
7就是1的间接性，一个也就是它的先行课的现象，对吧？,0,1,0
唉你看我们原来的数据结构，我们都是教材都是用pass的语言写的，因为pass的语言非常严谨啊说过，啊那么现在我们学的这个,0,0,1
所以嗯那就是说我们刚才是怎么找的，应该回想一下我们怎么找到这个7的，我们是把,2,2,1
1号课程的先行课5把它又带回到这个课程里边，作为课程号，对不对？然后再找他的什么？,0,1,1
Cpu。,0,0,1
所以它实际上牵涉到这个课程表课程表做了一次连接，就是连接。噢,0,0,1
那么为了学这个语言的时候方便它因为是离开不了那怎么办？呢我们就把它做成两个,1,1,1
啊就相当于备份备份出来是吧？所以做了两个注意啊写的是PRO，,0,0,1
本来是写上两个表明，,0,0,1
他在这个表的后面空一格写上的这个是表的别名，就像我们前面不是讲过那个列的别名吗？也是这样对吧？,0,1,0
这表的别名同样还是这个表再做一个别名，所以它就是一个first表示。,0,0,1
啊好，这两个表呢大家看一下，,0,0,1
这两个表我们最后要输出的是每一门课程，那就是CEO要出出一个是吧？,0,0,1
每一门课程的间接先行课，那就是要输出一个second什么？Cpu，吧,0,0,1
你看是不是他的现金流是我再带进去他的现金流是什么？,0,0,1
一是不是？所以他要输出是一个first的CEO,0,0,1
和second什么？Cpu，唉,0,0,1
然后它的连接条件是first的CEO连什么？,0,0,1
噢 First CPU连什么？连三个什么就这个5年了，,0,0,1
对不对？唉是这样的，啊你看他写的时候，我要仔细研究条件是first CPU,0,1,0
直接先行课，连到三课的那个课程号里面找它的间接性，对吧？然后它的输出是分的,0,1,1
课程哈和second什么？C标自身的这个状况。,0,0,1
所以这学这些语言它有很多细节，比如说拼一下就可以，下节课一定是要,0,0,2
再解释一下这种问题。其实不是很多是吧？我给他理解一下，,0,0,1
这是他的输出结果是吧？1号课程的间接先行考试，呃7号下面呢我们,1,0,0
继续啊继续给大家说一下，还有,0,0,1
啊这个语句里面还有一种差距叫做千套差距，,0,0,1
牵头查询大家在高级研究员学过什么情况下出现圈套，,0,0,1
在循环是吧？唉错过循环，那我也喜欢你来签到，那么我们这个,0,0,1
呃 Circle的查询语句的签到就是在一个select里边会再出现一个下载。,0,0,1
啊我们先看在文文字诀里面,0,0,1
出现在那个这种情况啊这个千套查询，呢,0,0,1
我们说它可以理论上它可以迁到多少层，呢,0,0,1
啊理论上所签到的多少层是两可以到256层，,0,0,1
啊但实际上你想你要写程序要牵扯到这么多人的人都是吧，要么就是写晕了，,0,0,1
赢了是吧？嗯所以我们对大家的这个要求也是领导三层，大家看这个意思，,0,0,1
这个例子在没有子句里面，没有子句里面是不是又出现一个什么？啊不出现。,0,0,1
嗯我们来看这个里边的这个查询率，我们称为是查询，,0,0,1
外面外层的我们称为,0,0,1
只查询，我们现在看它是查什么？呢 Sc表里面，查,0,0,1
 s表里面查选了二号课程的什么？学号，选了二号课程的学生的学号是吧？,0,0,1
完了以后再回到学生表里边，只要是学号应选的二号课程的学号可能不止一个，吧,0,0,1
他这个后面可能是一个集合对不对？,0,1,0
然后就只要在学生表只要学号是专业这个集合里面的，把他的姓名,0,0,1
那就是查的是选了二号课程，学生大家看这个查询，,0,0,1
你想一想，用我们刚才所讲的文件查询可不可以做怎么做？怎么做好？行，我,2,2,0
龙云，玉玉玉啊龙玉玉，好，请坐。你们在这个当前,0,0,1
其他同学在下面你自己也没给他。嗯,1,0,0
我们刚才的连接查询，就首先看这个查询涉及到几个点，嗯嗯嗯,1,0,0
啊一个表吗？,0,0,1
这是一个表吧唉是这个好。因为我们刚才连接查询，,0,0,1
首先就把普朗姆自主选择普朗姆后面应该有两个表，对吧？好，谢谢。,1,1,0
还有两个表，一个c的表，一个SC表对吧？,0,1,0
两个表之间用一定要用逗号分隔开啊 Sc，啊,0,0,1
然后两个表的话它肯定有连接条件，对不对？连接条件我放到where子句里边，你先写where子句。,0,1,1
好，这两个表student的什么？连到SC的什么？,0,0,1
对。好，那你是student点挺好，对吧？等10年过去是吧？,0,1,0
然后它除了连接条件外，它还应该还有个查询条件，过去以后，所以你有个and and，,0,0,2
然后它的查询条件是CEO，CEO它肯定是出现在SC表，,0,0,1
那么直接就写写课程号等于2，就是他挑选出选的二号课程的，,0,0,1
对然后把三那个写上去查什么，呢最后选到二号课程的，,0,0,1
通过选了二号跟学号写了个应该写在上面，呢写在最上面不让讲，啊,0,0,1
查的是学生的姓名，最后选了二号课程的，通过学号连过去到学生表里面，,0,0,1
查出学生的姓名对吧？Ok好完成。,0,1,0
不错，因为还是上来呢也可能在下面知道，上来以后可能有点紧张，啊就有点唉不知道怎么写，嗯,2,1,1
一定要虽然有时候听的时候是懂的，但是一定要自己要懂，,0,0,2
啊或者上机的时候，上机是其实没有多的时间的，啊要赶紧把这些,0,0,1
书上这些这些例子啊都都去都去试一下。,0,0,1
啊,0,0,1
数据更新操作应该包括什么操作，就是对数据的插入、,0,0,1
修改和删除，这是，表里面数据哈这三三个操作。,0,0,1
我们首先看数据插入的啊数据插入，这个大家上机的时候用过，,1,0,0
啊但是我们一定要把它的语法格式啊这个命令语法格式一定要记清楚。,0,0,1
How the mean is insert into include表表跟上表明，注意要插入的值，,0,0,1
啊要插入值是写在温度是后面，这个表明后面写不写水平力，我们待会通过例子来说明。,0,0,1
它这个是一个可选项，它就公式里面包括哈包括表示对象，,0,0,1
可以写也可以不写，啊可以写一下。,0,0,1
大家看这个例子啊看这个例子这个例子是insert into什么表里边？,0,0,1
学生表里面插入数据插入的这个数据，啊values、唉这学号、姓名、,0,0,1
性别、所在系和年龄。大家注意一下，啊如果我这个表的后面没有写上属性列的话，,0,0,1
就是缺损的情况缺损的情况表明他要插入的值，,0,0,1
它是和这个表里面原来那个属性列的顺序是对应的。,0,0,1
大家还记得原来这个水分的顺序是,0,0,1
学好姓名、性别、,0,0,1
年龄，然后是戏是不是？所以你如果不上面不写属性的，他可能把这个付给年龄这个付给,0,0,2
性啊性别那就不对，是不是？啊,0,0,1
所以如果你这个插入数据的时候，你的这个数据和原来这个表里面首先数据不一样，,1,0,1
啊那你就要怎么样？啊你就要把它列出来它列出来，或者说你插入的数据,1,1,0
不是原来表里面的所有的属性，我只插入几个属性，呢那你也把它列出来，,0,0,1
否则他就顺着插入了，对不对？唉这个数据对应对。,0,1,0
好，这个这个弯路是后面跟的是常量，所有的长直嘛自负型常量都要打上,0,0,1
单元号嗯这个是数字型的，不用这个18不用其他都来打单一套。,0,0,1
那么再来看，,0,0,1
这个插入是SC表里面插入数据，SC表里面插入数据插入是一个学号一个课程，哈,0,0,1
成绩他没给出来对不对？他没有列出来，就啊就是就是没有，,0,1,0
反正反正是里面没有纸要给程序这一项，他没有列出来，啊,0,0,1
也就是说这个表里面不是所有的属性都要给他值，那这种情况下怎么办？呢系统就会自动的,1,1,0
在成绩这一项上面，就是这个分量上就是空性啊相当一些，相当于,0,0,1
给了空值，他这个后面不写就三个属性都有了。,0,0,1
唉顺着这三个属性，啊学号课程号，,0,0,1
啊再看这种这样的情况下，大家看这个值的顺序是不是和原来表的这个首先顺序是一致的，,1,0,0
对吧？所以它这个后面可以不行。,0,1,1
好，刚才的弯路是它是每一次只能插入一行数据，,0,0,1
啊让人上心的一种局势啊每一次超越,0,0,1
那有同学说我要抄多行分，呢抄多行就是说因为这个语句执行力是真的，你可以把它写在,0,0,1
啊循环与距离，可以是吧？,0,0,1
每循环一次插入，要插入指针，你可以比如说用c语言啊就是从键盘上输入是吧？,0,0,1
不信这些美好日子，嗯还有呢就是说我们也可以通过查询，啊我们前面讲,0,0,1
物质查询来达到一次插入多行数据，啊那么我们就来看通过子产品,0,0,1
一次插入，我们先来看这个这个上这个上面是一个什么？,0,0,1
和推广。,0,0,1
创建对不对？创建一个新的表，这是表明嘛唉这个表有两个属性，,0,1,0
对吧？一个是系一个是这个系的什么？啊这个表创建以后，,0,1,0
它是一个空表，吧有没有数据？没有，好，我们怎么给这表数据呢到这来啊 Insert into？,1,1,0
这是不是刚才这个表啊嗯是吧？这是表的两个属性，嘛好，通过一个子产品，,0,0,1
通过一个子查询，我们来看子查询是什么？子查询在学生表里面以什么分组？以细分组,0,0,1
啊查询出每一个系以这个系的平均什么年龄，是不是正好和这个对应吧,0,0,1
唉在学生表里面查出每一个系以及这个系的平均年龄，这个是不是有多行？,0,0,1
嘛,0,0,1
比如计科系平均年龄多少，信息系平均年龄多少，数学系平年是吧？唉这个查的这个结果直接插入到这个目标，,0,0,1
啊这是可以嗯具体应用程序程序的时候，我们后面要讲的就是怎么把社会,1,1,0
语句切入到主语，比如说声源里面去去完成数据库相关的一些操作，啊那么,0,0,1
在切入的时候，具体怎么用啊我们要看这个实际开发的应用情况，,1,1,0
需要的情况下，我们可以用查询来做到一次性的查询过。,0,0,1
所以我们老说这个第三章很重要，啊就是我们作为这个专业的,0,0,1
学生，啊我们不是说仅仅是会用鼠标在数据库软件上面操作一下，不是这样，啊,0,0,1
我们要学会就是说你怎么样在应用程序里边去把这个思科语言去,1,1,0
啊去应用，那么因为嗯它是要嵌入到主语言去，我们不可能是去讲这个主语，大家有其他的课程，,0,0,1
我们学的是先把数据分析语言学好以后，然后我们在后面的商学院怎么去嵌入啊这种工作。,1,1,1
啊关于数据的插入的话，我们有一些要注意的地方，什么注意的地方，因为你数据插入是我们表里面插入数据，,0,0,1
而这个表在创建的时候，还记得我们的创建表的时候，我们曾经给过一些约束，是不是？啊,0,0,1
唉比如说给的组件约束，它是体现实体完整性，,0,0,1
组件约束，那么这个组件它是不能去控制的，对吧？这是所谓的实体，嘛还有你给的是,0,1,0
外界约束的话，它是它是有参照感的，就是外界的曲子一定要参照,0,0,1
已有的相应的这个组件的是吧？等等，还有非空约束啊唯一性约束，啊,0,0,1
还有一些像这种词语我们说的check约束是吧？,0,0,1
成绩0~100之间这种值分，,0,0,1
那么你有这样建表的时候有这样一些约束，当我们往这个表里面插入数据的时候，,0,0,1
他是会啊注意我们插入数据的时候，我们说它是会检查,0,0,1
啊你这个插入的数据,0,0,1
是不是符合这个表所定义的一些完整的规则，比如说破坏掉它原有的完整性规则，没有对吧，,0,1,1
如果破坏嗯那你，当然就这个这个这个操作就不能执行，是不是这样？,0,0,1
唉,0,0,1
就说它是不能破坏表上面定义的完整行为，这是它的前提，就是超数据哈啊,0,0,1
一定要符合这个表相应的这个规则。啊好了，刚才我们讲的是插入，其实这个还是比较简单，,0,0,1
明显的。,0,0,1
好，修改数据的语句。,0,0,1
啊啊对啊对的后面对直接跟上表明，他不像那个插入有一个into，,0,0,1
删除有个lead from，有个from，而修改它不对的，后面直接跟上表明修改某个表，,0,0,1
然后三三个后面注意啊三个后面可以是属性，列也可以是一个表达式，甚至可以是一个子查询。,0,0,1
就是你要修改的项目，它的新的值不管它原来是什么值，反正三后面是它新的值，啊,0,0,1
是要修改新的，然后呢有一个歪要条件这个为条件，大家看是一个方法，哈,0,0,1
就是说你可以有也可以没有没有的情况下，它是修改所有的行业对吧？,0,1,0
唉有的情况下就是满足这个条件的援助的数据我要修改，啊大家看这个例子，,0,0,1
这个例子大家看一下，啊这个修改哪一个表？丢的表，修改什么列呢？,0,0,1
唉原生表里面的年龄，不管原来年龄是多少，啊我们看有没有条件，,0,0,1
他是满足什么条件的学生的年龄？,0,0,1
呢学号为121的学生的年龄，原来,0,0,1
啊不管它是多少，我现在把它改成22，对吧？唉现在改,0,1,0
如果不写这个条件，呢那就这个表里面所有学生的年龄改成什么？22，啊这个呢,0,0,1
这个没有条件吗？学生表里面所有学生的年龄加一，,0,0,1
然后再不给他啊就是这所有的学生年龄增增加一岁，,0,0,1
这个是一个子查询，嘛唉大家看见没有？,0,0,1
这里面有一个紫茶啊淘金里面，这个是修改什么呢？,0,0,1
修改SC表里面的成绩，啊,0,0,1
嗯什么样的成绩要修改，呢他在条件里面有就是,0,0,1
 SC表里面选好属于这这这个集合里边的这个是什么呢？,0,0,1
这个是查的计科系的学号对吧？,0,1,0
啊也就是说在SC表里边是即科系的学生的成绩把它置为0，,0,0,1
啊不管是哪一门课了，只要他这个学号是计科系，怎么知道学号是计科，你非要在这个表里面才知道他是,1,1,0
对吧？,0,1,0
因为在学生表里面才有戏，,0,0,1
在学字表里面通过系把学号上传，然后在学号里这里这里面只有学号，对吧？然后通过这个学号,0,1,2
来把它的产品作为好。,0,0,1
再来看啊我们在做数据修改的时候同样的道理，,0,0,1
你在修改表里面数据的时候，你修改来修改去，你不能说把他的,0,0,1
呃当时当初建表的时候一些完整性的约束你要遵守，啊不要破坏掉它行为。,0,0,1
比如说他原来是唯一性约束，你把那一修改修改唯一就是没有重复值是吧？你修改修改的有重复值不行？,0,0,1
啊最后我们看一下删除删除数据的公式，语句是用的第一，而且有个form。,0,0,1
三角色表里啊从什么表里边删除数据？它有个条件，,0,0,1
啊再上条件呢就是满足这个条件的援助，我要删掉，没有条件的情况下，呢,0,0,1
所有的这个表里面所有的人，大家看这个例子，三三是什么条件,0,0,1
在学生表里面找到这个学号，对不对？然后把这一行数据删掉，,0,1,1
这个呢这个这个删除，,0,0,1
从SC表里边没有条件是吧？Sc表里面所有的原主都删掉了，吧,0,0,1
唉就是因为它的所有元素是所有的雪刻就都删掉。,0,0,1
那么我请问一下，这个表还存不存在？,0,1,0
唉表的结构还是不错，只不过它是个空表，啊还有水,0,0,1
啊这个删除也是在条件上面条件上面加了一个差，它在SC条里面要删什么样的,0,0,1
记录呢数据记录，呢原主记录呢三个是啊学号，是属于,0,0,1
系科系的那个对应的学号，根据科系学生的选课记录三条，啊,0,0,1
关于这一章里面还有最后一点就是我们数据库里边的另外一个对象叫做是服务啊这个是，,0,0,1
试图我们要讲的是关于怎么创建这个事，然后这个在试图之上我们可以做一些什么查询，,1,1,1
可以做一些什么更新，然后试图有什么作用，就是要掌握这几个知识点。,0,0,1
首先我们看视图的概念，,1,0,0
前面我们说过试图它是一个虚拟的点，为什么这样说？,0,1,0
因为试图本身它不保存数据，唉它没有数据，,0,0,1
啊4伏没水，它只是一个结构一个定义，而且一个视图,0,0,1
它是由基本给出出来的，它是由一个过几个几个表导出来的，,0,0,1
导出来的一个表，这个表里面不保存数据，不保存任何数据，啊它是一个虚拟，只有结构，,0,0,1
但是我们你比如说上机的时候，我们专门试图有上衣，你上机的时候你可以把这个试图打开，像打开表要打开，,0,0,2
你可以看得到数据，那么这个数据是,0,0,1
你打开的时候，系统沿着这个软件，它根据这个视图的定义，从积分表里面把数据,0,0,1
啊一定出来，这样好好，首先看怎么定义一个视啊定一个视图，我们用到什么动词。,2,1,0
行，可以没有你。这个地方可不是推广啊可以用，然后是四通明,0,0,1
相对于这个表明一样啊给得起四通明的后面要不要写上属性列，,0,0,1
我们待会通过例子来说明啊这个是个方口号和解。,0,0,1
好，下面这个很关键，你这个视图是怎么导出来的，所以有个,2,1,1
嗯它是由查询由一个select select去导出来，啊对基本表的查询，,0,0,1
